"(50038.13, 92856.93)","(-31.730602, -53.578846)"
"(50107.42, 119179.63)","(-31.493204, -53.579455)"
"(50174.37, 92887.97)","(-31.730322, -53.57741)"
"(50275.31, 92928.89)","(-31.729953, -53.576347)"
"(50296.71, 119067.86)","(-31.494212, -53.577457)"
"(50317.96, 92950.07)","(-31.729762, -53.575898)"
"(50416.11, 118984.7)","(-31.494962, -53.576196)"
"(50430.14, 92983.89)","(-31.729457, -53.574716)"
"(50528.3, 93057.29)","(-31.728795, -53.573684)"
"(50615.19, 93130.69)","(-31.728133, -53.572771)"
"(50695.86, 118779.47)","(-31.496813, -53.573241)"
"(50702.1, 93209.64)","(-31.727421, -53.571858)"
"(50722.77, 82279.91)","(-31.825991, -53.571072)"
"(50796.04, 93290.14)","(-31.726695, -53.570871)"
"(50861.58, 93339.6)","(-31.726249, -53.570182)"
"(50881.03, 82235.45)","(-31.826392, -53.569398)"
"(50907.25, 93394.59)","(-31.725753, -53.569703)"
"(50938.68, 93445.38)","(-31.725295, -53.569374)"
"(50982.97, 93508.91)","(-31.724722, -53.56891)"
"(51025.73, 93551.27)","(-31.72434, -53.568461)"
"(51043.42, 82203.07)","(-31.826684, -53.567681)"
"(51082.13, 118485.09)","(-31.499468, -53.56916)"
"(51195.12, 118395.39)","(-31.500277, -53.567966)"
"(51242.78, 118349.48)","(-31.500691, -53.567462)"
"(51304.11, 118283.73)","(-31.501284, -53.566813)"
"(51322.86, 93706.51)","(-31.72294, -53.565334)"
"(51355.75, 82112.04)","(-31.827505, -53.564377)"
"(51369.93, 118203.46)","(-31.502008, -53.566116)"
"(51463.15, 82063.58)","(-31.827942, -53.56324)"
"(51470.83, 93788.34)","(-31.722202, -53.563777)"
"(51532.79, 97889.4)","(-31.685216, -53.563339)"
"(51535.3, 97803.69)","(-31.685989, -53.563308)"
"(51537.34, 117976.6)","(-31.504054, -53.564342)"
"(51555.14, 97979.33)","(-31.684405, -53.563108)"
"(51556.83, 97728.29)","(-31.686669, -53.563077)"
"(51573.28, 93861.74)","(-31.72154, -53.5627)"
"(51582.72, 82007.03)","(-31.828452, -53.561974)"
"(51590.51, 98056.28)","(-31.683711, -53.562739)"
"(51597.26, 97641.14)","(-31.687455, -53.562646)"
"(51604.61, 93892.79)","(-31.72126, -53.562371)"
"(51615.44, 117865.17)","(-31.505059, -53.563514)"
"(51660.88, 94397.85)","(-31.716705, -53.561804)"
"(51667.96, 94013.98)","(-31.720167, -53.561709)"
"(51676.46, 94501.2)","(-31.715773, -53.561645)"
"(51702.02, 94587.91)","(-31.714991, -53.56138)"
"(51722.18, 117722.36)","(-31.506347, -53.562383)"
"(51739.24, 94657.98)","(-31.714359, -53.560991)"
"(51774.9, 117646.63)","(-31.50703, -53.561824)"
"(51789.99, 98262.41)","(-31.681852, -53.560646)"
"(51831.83, 94806.12)","(-31.713023, -53.560022)"
"(51838.21, 81909.9)","(-31.829328, -53.55927)"
"(51879.29, 117510.14)","(-31.508261, -53.560718)"
"(51982.44, 81901.8)","(-31.829401, -53.557746)"
"(51987.41, 117381.96)","(-31.509417, -53.559573)"
"(52064.77, 95192.65)","(-31.709537, -53.557585)"
"(52127.93, 96439.3)","(-31.698294, -53.556985)"
"(52130.59, 81881.62)","(-31.829583, -53.55618)"
"(52164.53, 95295.66)","(-31.708608, -53.556538)"
"(52189.17, 117171.07)","(-31.511319, -53.557438)"
"(52200.78, 98738.64)","(-31.677557, -53.556339)"
"(52204.54, 96291.27)","(-31.699629, -53.556169)"
